baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneID,Gene_Symbol,Gene_Description
93.135828736282,30,1.88859182866004,15.8848511069145,8.06893206610196e-57,3.65452457967757e-54,4111,MAGEA12,MAGE family member A12
1294.20172363995,26.4806010596056,1.95809474536301,13.5236566679496,1.13396136857204e-41,1.4673882703621e-39,643834,PGA3,pepsinogen A3
411.342060126568,25.7622074303195,1.30620555068922,19.7229351970875,1.37040134860605e-86,5.71018833937169e-83,55600,ITLN1,intelectin 1
222.910089446894,25.0530585850952,2.04673605915401,12.2404930880294,1.88881631696235e-34,1.32496966826915e-32,200504,GKN2,gastrokine 2
83.6756560435799,23.6842880977816,1.70902271822721,13.8583810766129,1.13198607917227e-43,1.70897086764312e-41,266740,MAGEA2B,MAGE family member A2B
41.6893059468589,22.7130819868008,1.62689945981779,13.960962276885,2.69766734183773e-44,4.2903207175456e-42,158511,CSAG1,chondrosarcoma associated gene 1
20.4134062637351,21.6037066140978,2.05329574779321,10.5214782806211,6.87857765446133e-26,2.40450145726589e-24,6750,SST,somatostatin
17.3623822929092,21.4945851083405,1.71839102964701,12.5085529064685,6.70342931830133e-36,5.21116591110037e-34,8277,TKTL1,transketolase like 1
16.3054596190503,21.3917000396879,2.46759882949541,8.66903476529132,4.35798898166762e-18,7.60421628509742e-17,100874155,LINC00392,long intergenic non-protein coding RNA 392
83.2964482531715,20.0823873881728,1.71020594759445,11.7426719375058,7.70142206302999e-32,4.42014951132691e-30,4101,MAGEA2,MAGE family member A2
11735.7216041145,14.8655165631584,1.33368812936967,11.1461714592782,7.47540227381998e-29,3.25821194503693e-27,5225,PGC,progastricsin
4240.17191104581,14.1267613375844,1.22334261996384,11.5476736500867,7.58456821496666e-31,3.98508176471879e-29,7032,TFF2,trefoil factor 2
20606.3706288221,14.0646065664171,1.06371294965215,13.2221823293741,6.53402605034327e-40,7.12721982894512e-38,4586,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming"
1229.32979121417,13.3288754243648,1.9579667376077,6.80750861000348,9.93033695263582e-12,8.21965196945629e-11,643847,PGA4,pepsinogen A4
4802.26302790573,13.096126762248,1.03706032607125,12.6281243559482,1.4775832390456e-36,1.21196729142819e-34,7031,TFF1,trefoil factor 1
3961.86874083899,12.4632229028479,1.02547054477766,12.1536624979805,5.4852142970177e-34,3.71035567091126e-32,6374,CXCL5,C-X-C motif chemokine ligand 5
657.980726012408,12.4316715556249,1.90565459049578,6.52357023021187,6.86532434701805e-11,5.07566243597495e-10,5222,PGA5,pepsinogen A5
3808.99765758409,12.2941554651265,1.84529260813865,6.66244226574321,2.6931412945449e-11,2.10461011742492e-10,8513,LIPF,"lipase F, gastric type"
6280.58889164094,12.054744036198,0.716305359821404,16.829057427692,1.49462498769924e-63,1.41540986335118e-60,4312,MMP1,matrix metallopeptidase 1
3430.38930412395,11.8623051245642,1.1811188460686,10.043278171412,9.83502086619657e-24,2.82624585829434e-22,5967,REG1A,regenerating family member 1 alpha
1862.99185275315,11.7743534178316,0.908357978878655,12.9622392180303,2.00313475199183e-38,1.9410841592092e-36,6690,SPINK1,serine peptidase inhibitor Kazal type 1
3920.28648685795,11.6859091900996,0.825301259408854,14.1595678630976,1.62993354817803e-45,2.82983629522842e-43,4314,MMP3,matrix metallopeptidase 3
21381.0927924544,11.6220414043482,0.912972004792048,12.7298989929001,4.03360665236614e-37,3.50150670814151e-35,10562,OLFM4,olfactomedin 4
2187.94544021076,11.6065557873105,1.04186401164763,11.1401830349775,7.99548564222309e-29,3.4488187964819e-27,11199,ANXA10,annexin A10
2919.22557955147,11.5497348801531,1.29505724011848,8.9183199957219,4.73414840055903e-19,9.20067609862378e-18,92747,BPIFB1,BPI fold containing family B member 1
501.021698486715,11.3340397200154,0.882670153656542,12.8406287139801,9.70828264120374e-38,8.98943824652617e-36,4319,MMP10,matrix metallopeptidase 10
279.10379551524,11.2839881925493,1.71574302673822,6.57673556977882,4.80888870716741e-11,3.62476075705954e-10,4102,MAGEA3,MAGE family member A3
861.452270057477,11.2503809978243,0.806998853276566,13.9410123721312,3.5684238134512e-44,5.63216225223047e-42,183,AGT,angiotensinogen
467.065459661976,11.232948032405,0.843244293025715,13.3211076852938,1.74499118578342e-40,2.03101376338614e-38,389602,LOC389602,uncharacterized LOC389602
264.921822745979,11.2110727114019,1.67574098645143,6.69021811965262,2.22838202080955e-11,1.76592282318548e-10,4105,MAGEA6,MAGE family member A6
150.90096861683,-5.74303106429761,1.18964924594482,-4.82749943638765,1.38258080022256e-06,5.32729580022876e-06,3850,KRT3,keratin 3
8.59472525986423,-5.35955502300537,1.67804189541966,-3.19393397604355,0.00140348211803575,0.00311947374633067,101929106,LOC101929106,uncharacterized LOC101929106
590.919835804178,-5.1511305817673,1.02365211369378,-5.03211053135991,4.85109422566199e-07,2.01651430761057e-06,3848,KRT1,keratin 1
12.8769897519055,-5.01785081902248,0.88759713162243,-5.65329769582559,1.57398345200196e-08,8.38465130120402e-08,399823,FOXI2,forkhead box I2
18.1604095198118,-4.95882747565495,1.42664218508792,-3.475873297094,0.00050919279111138,0.00123369259332649,83897,KRTAP3-2,keratin associated protein 3-2
27.3391112761364,-4.9333269732442,1.38896891784316,-3.55179076354338,0.000382618988409599,0.000950004052499773,105379675,LOC105379675,uncharacterized LOC105379675
28.9951026278461,-4.87140044019723,0.887796571682461,-5.48706831674902,4.08659118805483e-08,2.04172759740849e-07,100128590,SLC8A1-AS1,SLC8A1 antisense RNA 1
3040.24902780901,-4.86455817731821,1.1765123883105,-4.13472754358655,3.55375991608826e-05,0.000107521106726376,10321,CRISP3,cysteine rich secretory protein 3
34.9811302504841,-4.85898017078709,1.1575398048197,-4.19767868936819,2.69664864473822e-05,8.32819120433977e-05,100862728,UPK1A-AS1,UPK1A antisense RNA 1
71.0289034327859,-4.78217310237563,0.71661923633292,-6.67324132526353,2.5021442826391e-11,1.9656739813161e-10,55118,CRTAC1,cartilage acidic protein 1
238.790990444454,-4.75709896925822,1.1926994581642,-3.98851440460982,6.64883663010772e-05,0.000192044728062754,11045,UPK1A,uroplakin 1A
8.46412505489376,-4.70154155368166,1.23032223552789,-3.82139037880949,0.000132701398410943,0.000361193626439553,3883,KRT33A,keratin 33A
26.2350275567414,-4.65815694364002,1.26036566243594,-3.69587738104281,0.000219128720023682,0.000571165739143424,7180,CRISP2,cysteine rich secretory protein 2
71.2807296225559,-4.65091905418577,1.22869582217778,-3.7852485295688,0.000153555041281081,0.000412582632196292,125981,ACER1,alkaline ceramidase 1
41.8446486916925,-4.60612997041662,1.07773049677872,-4.27391633083047,1.92069135095824e-05,6.09437764329332e-05,101928376,IL12A-AS1,IL12A antisense RNA 1
44.8512880654574,-4.5784199000358,0.990254164639264,-4.62347957072582,3.7735592184641e-06,1.34967094862628e-05,105372641,LOC105372641,uncharacterized LOC105372641
31.1210862328862,-4.56013289932312,0.869695117760863,-5.24336955123279,1.5767029472373e-07,7.14886380908421e-07,84620,ST6GAL2,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2"
31.9796337362439,-4.55626244193106,1.27686930971502,-3.56830758423347,0.000359294569011765,0.000897839605214817,3881,KRT31,keratin 31
6.17651514120843,-4.53629052456495,0.908003526107437,-4.99589527368004,5.85634370690257e-07,2.4003750696362e-06,102723686,LOC102723686,uncharacterized LOC102723686
92.6359194247583,-4.50082467490358,0.733509587906707,-6.13601341974009,8.46180122753811e-10,5.3813542971468e-09,50489,CD207,CD207 molecule
7.65929526446214,-4.43657170538483,1.55701214103245,-2.84941368693693,0.00437998883231495,0.00873147902903546,730109,LINC01100,long intergenic non-protein coding RNA 1100
38.8519183867042,-4.43483888147247,1.25603587395378,-3.53082182876861,0.000414270700866051,0.00102056471347325,64711,HS3ST6,heparan sulfate-glucosamine 3-sulfotransferase 6
1258.83046300299,-4.41288157647937,1.26794896589095,-3.48033059309968,0.000500795418707318,0.00121518422470863,57152,SLURP1,secreted LY6/PLAUR domain containing 1
148679.291754087,-4.40520055500262,1.10616194650103,-3.98241918277608,6.82173250409579e-05,0.000196793097466535,3851,KRT4,keratin 4
56.0406870577724,-4.39854581885795,1.24484606099941,-3.5334054198851,0.000410242845257855,0.001011359535925,105373421,LOC105373421,uncharacterized LOC105373421
16.6274572054613,-4.34716515234999,0.977775168048404,-4.44597622685258,8.74936243089463e-06,2.95675939797662e-05,406941,MIR149,microRNA 149
22.7361874599649,-4.34344395643168,1.18700435870342,-3.65916428577911,0.000253039091517967,0.000650921895627277,105376950,LOC105376950,uncharacterized LOC105376950
67.7740591672051,-4.31932546702672,1.57393982138176,-2.74427612056654,0.0060644504304328,0.011706361555419,7021,TFAP2B,transcription factor AP-2 beta
22.1123068535144,-4.27672902007518,1.21858880808241,-3.50957516736519,0.000448823177226175,0.00109905760159028,26998,FETUB,fetuin B
72.6006847135917,-4.27075545300772,0.60289286729234,-7.08377173574496,1.40282910008624e-12,1.28864821301572e-11,4137,MAPT,microtubule associated protein tau
